id,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
32,6367000,1415,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
33,5080000,1270,Bommasandra,2,0,1,1,1,0,,1,0,0,0,1,1,0,1
34,7209999,1311,Bellandur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
35,5700000,1210,RR Nagar,2,0,1,1,1,0,,0,1,1,0,1,0,0,1
36,12400000,1705,Whitefield Hope Farm Junction,3,0,1,1,0,0,,1,1,1,1,1,0,0,1
37,4900000,1187,Begur,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
38,30000000,3340,JP Nagar Phase 1,4,0,1,1,0,1,,1,1,1,1,1,1,0,1
39,7888000,1045,Dasarahalli on Tumkur Road,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
40,4866000,1179,Kannur on Thanisandra Main Road,2,0,1,1,0,0,,1,1,0,1,1,0,0,1
41,8358000,1675,Doddanekundi,3,0,0,1,0,0,,0,0,0,1,0,0,0,0
42,6845000,1670,Kengeri,3,0,1,1,1,1,,1,1,1,1,1,1,0,1
43,6797000,1220,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
44,20000000,2502,Thanisandra,4,0,1,1,1,0,,1,1,1,1,1,0,0,1
45,7105000,1438,Ramamurthy Nagar,3,0,1,1,1,0,,1,1,0,1,0,0,0,1
46,8405000,1405,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
47,3506000,660,Electronic City Phase 1,1,0,1,0,1,1,,1,1,1,1,1,1,0,1
48,7700000,1362,Yelahanka,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
49,9369000,1735,Anjanapura,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
50,8716000,1575,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
51,5394000,1120,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
52,6367000,1415,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
53,5080000,1270,Bommasandra,2,0,1,1,1,0,,1,0,0,0,1,1,0,1
54,7209999,1311,Bellandur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
55,5700000,1210,RR Nagar,2,0,1,1,1,0,,0,1,1,0,1,0,0,1
56,12400000,1705,Whitefield Hope Farm Junction,3,0,1,1,0,0,,1,1,1,1,1,0,0,1
57,4900000,1187,Begur,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
58,5080000,1270,Bommasandra,2,0,1,1,1,0,,1,0,0,0,1,1,0,1
59,9630000,2293,Kannur on Thanisandra Main Road,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
60,9458000,1726,Hosa Road,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
61,23700000,2470,Sahakar Nagar,4,0,1,1,1,0,,1,1,1,1,1,1,1,1
62,7363000,1570,Kadugodi,3,0,1,0,0,0,,1,1,0,1,1,1,0,1
63,5489000,1120,Jakkur,2,0,0,0,0,0,,0,0,0,0,0,0,0,0
64,4216000,1506,Jigani,3,0,1,0,1,0,,1,1,1,0,1,0,0,1
65,4368000,1040,Krishnarajapura,2,0,0,1,1,0,,1,1,0,1,1,0,0,1
66,7600000,1150,Brookefield,2,0,0,0,0,0,,0,0,0,0,0,0,0,0
67,4545000,1045,Horamavu,2,0,1,1,0,0,,1,1,0,1,0,0,0,0
68,23100000,2480,Banashankari,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
69,8000000,1160,RR Nagar,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
70,4514000,1143,RR Nagar,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
71,5460000,1300,RR Nagar,2,1,1,1,1,0,,1,1,1,1,1,1,0,1
72,4414000,966,Nelamangala,2,0,1,1,0,0,,0,1,1,1,0,0,0,0
73,8868000,1245,Begur,2,0,0,1,0,0,,1,0,0,1,0,0,0,0
74,6133000,1275,Ramamurthy Nagar,2,0,1,1,0,0,,1,0,0,1,0,0,0,0
75,3038000,1085,Attibele,2,0,1,1,0,0,,1,1,1,1,0,1,0,1
76,7100000,1286,Nelamangala,3,1,1,1,0,0,,0,1,1,1,0,1,0,0
77,7506999,1155,Banaswadi,2,0,1,0,1,1,,1,1,1,0,0,0,0,1
78,6520000,1304,Whitefield Hope Farm Junction,3,0,1,0,1,0,,1,1,1,1,1,1,0,1
79,6389000,1120,Kodigehalli,2,0,0,1,1,0,,1,0,0,1,0,0,0,0
80,11700000,2017,ITPL,3,0,1,1,1,0,,0,1,1,1,1,1,0,1
81,5600000,1340,Uttarahalli Hobli,3,0,0,1,0,0,,0,1,0,0,0,0,1,0
82,4562000,1304,Electronic City Phase 1,3,0,1,1,0,0,,0,1,1,1,0,0,0,0
83,2951000,649,Ramamurthy Nagar,1,0,0,1,0,0,,0,0,0,1,0,0,0,0
84,4264000,1108,Krishnarajapura,2,0,1,0,1,1,,1,1,1,1,1,0,0,1
85,6698000,1675,Krishnarajapura,3,0,0,1,1,0,,0,0,0,1,0,0,0,0
86,8100000,718,Chikkagubbi on Hennur Main Road,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
87,4500000,1075,Kasavanahalli,2,0,1,1,1,0,,0,1,1,1,0,1,1,0
88,4928000,1120,Varthur,2,0,0,1,0,0,,0,0,0,0,0,0,0,0
89,6100000,1350,Vidyaranyapura,2,0,0,0,0,0,,0,0,0,0,0,0,0,0
90,6151000,1404,Electronic City Phase 2,2,0,1,0,1,0,,1,1,1,1,1,1,0,1
91,5426000,1080,Begur,2,0,1,1,0,0,,1,0,0,1,1,1,0,1
92,13000000,1800,J. P. Nagar,3,1,0,1,0,0,,0,0,0,0,0,0,0,0
93,4850000,1060,K. Chudahalli,2,0,1,1,1,0,,0,1,1,1,0,0,0,0
94,4604000,1540,Narayanaghatta,3,0,1,1,1,0,,1,1,0,1,1,0,0,1
95,3607000,1110,Anekal City,3,0,1,1,0,0,,1,1,1,1,1,0,0,1
96,16500000,1645,Sahakar Nagar,3,1,1,1,1,0,,1,1,1,1,1,1,0,1
97,4840000,1345,Sarjapur,3,0,1,1,1,0,,1,1,0,1,1,1,0,1
98,25800000,1866,Koramangala,3,0,1,1,1,0,,1,1,1,1,0,0,0,1
99,51000000,3500,Hebbal,3,0,1,0,1,0,,1,1,1,1,0,1,0,1
100,4809000,1145,Electronic City Phase 1,2,0,1,1,0,0,,1,1,1,1,1,1,0,0
101,5070000,935,Budigere Cross,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
102,10500000,1455,Bommanahalli,3,0,1,1,1,1,,1,1,1,1,1,1,1,1
103,6850000,1305,Uttarahalli Hobli,2,0,1,1,0,0,,0,1,0,0,0,0,1,0
104,4580000,1145,Varthur,2,0,0,1,1,0,,0,1,0,0,0,0,0,1
105,5559000,1635,Whitefield Hope Farm Junction,3,0,1,1,0,0,,1,1,1,1,1,1,0,1
106,4723000,1145,RR Nagar,2,0,1,1,1,0,,1,1,0,1,0,0,0,0
107,4465000,1175,Krishnarajapura,3,0,0,0,0,0,,0,0,0,0,0,0,0,0
108,8954000,1216,Varthur,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
109,4000000,1005,Electronics City,2,0,0,0,0,0,,0,0,0,0,0,0,0,0
110,5400000,1200,Chikkalasandra,2,1,0,0,0,0,,0,0,0,0,0,0,1,0
111,8784000,1279,Kogilu,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
112,7900000,1180,Nayandahalli,2,0,1,1,1,0,,1,1,1,1,1,1,1,1
113,4781000,1310,Electronic City Phase 2,3,0,1,1,1,1,,1,1,1,1,1,1,0,1
114,15000000,1776,Bilekahalli,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
115,4700000,1125,Horamavu,2,0,1,1,1,0,,1,0,0,1,0,0,0,0
116,7767000,1195,Muneshwara Nagar,3,0,1,1,0,0,,0,1,1,1,0,1,0,0
117,6487000,1272,Thanisandra,2,0,1,1,1,0,,1,1,0,1,1,0,0,1
118,14000000,2170,Junnasandra,3,0,1,1,1,0,,1,1,1,1,1,0,0,1
119,8758000,1510,RR Nagar,3,0,0,0,0,0,,0,0,0,0,0,0,0,0
120,13100000,1846,Narayanapura on Hennur Main Road,3,0,1,0,0,0,,0,0,0,0,0,0,0,1
121,5500000,1170,Kothanur,2,0,0,0,0,0,,0,0,0,0,0,0,0,0
122,4900000,1215,Kadugodi Industrial Area,2,0,0,0,0,0,,0,0,0,0,0,0,0,0
123,4545000,1045,Horamavu,2,0,1,1,0,0,,1,1,0,1,0,0,0,0
124,8779000,1245,Kannur on Thanisandra Main Road,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
125,22000000,1833,ITPL,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
126,5329000,969,Sarjapur Road Wipro To Railway Crossing,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
127,7500000,1100,RMV Extension Stage 2,2,1,0,1,0,0,,0,0,0,0,0,0,0,0
128,3779999,900,Kudlu,2,0,1,1,0,0,,1,1,0,1,0,0,0,0
129,8954000,1216,Varthur,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
130,9000000,1306,Talaghattapura,2,1,1,1,1,0,,0,0,0,1,0,0,1,0
131,25800000,1866,Koramangala,3,0,1,1,1,0,,1,1,1,1,0,0,0,1
132,8954000,1216,Varthur,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
133,13100000,1846,Narayanapura on Hennur Main Road,3,0,1,0,0,0,,0,0,0,0,0,0,0,1
134,8218000,1505,Electronic City Phase 2,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
135,8656000,1502,Jakkur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
136,7520000,1675,Doddanekundi,3,0,0,1,0,0,,0,0,0,1,0,0,0,0
137,6148000,1083,Kumbalgodu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
138,11000000,1805,Begur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
139,11399999,1880,Begur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
140,13000000,2180,Begur,4,0,1,1,1,0,,1,1,1,1,1,1,0,1
141,11299999,1850,Begur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
142,4900000,1188,Kannur on Thanisandra Main Road,2,0,1,1,0,0,,1,1,0,1,1,0,0,1
143,5002000,1215,Kannur on Thanisandra Main Road,2,0,1,1,0,0,,1,1,0,1,1,0,0,1
144,5036000,1224,Kannur on Thanisandra Main Road,2,0,1,1,0,0,,1,1,0,1,1,0,0,1
145,6736000,1350,Doddanekundi,2,0,0,1,0,0,,0,0,0,1,0,0,0,0
146,8233000,1650,Doddanekundi,3,0,0,1,0,0,,0,0,0,1,0,0,0,0
147,6761000,1355,Doddanekundi,3,0,0,1,0,0,,0,0,0,1,0,0,0,0
148,6611000,1325,Doddanekundi,2,0,0,1,0,0,,0,0,0,1,0,0,0,0
149,6287000,1260,Doddanekundi,2,0,0,1,0,0,,0,0,0,1,0,0,0,0
150,6437000,1290,Doddanekundi,2,0,0,1,0,0,,0,0,0,1,0,0,0,0
151,6112000,1225,Doddanekundi,2,0,0,1,0,0,,0,0,0,1,0,0,0,0
152,6487000,1300,Doddanekundi,2,0,0,1,0,0,,0,0,0,1,0,0,0,0
153,9412000,1247,Dasarahalli on Tumkur Road,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
154,10500000,1486,Dasarahalli on Tumkur Road,3,0,1,1,1,0,,1,1,1,0,1,1,0,1
155,10200000,1433,Dasarahalli on Tumkur Road,3,0,1,1,1,0,,1,1,1,0,1,1,0,1
156,4722000,1152,Kengeri,2,0,1,1,1,1,,1,1,1,1,1,1,0,1
157,4586000,1119,Kengeri,2,0,1,1,1,1,,1,1,1,1,1,1,0,1
158,4582000,1118,Kengeri,2,0,1,1,1,1,,1,1,1,1,1,1,0,1
159,6787000,1656,Kengeri,3,0,1,1,1,1,,1,1,1,1,1,1,0,1
160,9319000,1629,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
161,6892000,1237,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
162,9277000,1275,Bommanahalli,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
163,11600000,1615,Bommanahalli,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
164,10900000,1515,Bommanahalli,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
165,10500000,1455,Bommanahalli,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
166,9859000,1360,Bommanahalli,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
167,6973999,1409,Ramamurthy Nagar,3,0,1,1,1,0,,1,1,0,1,0,0,0,1
168,5705000,1139,Ramamurthy Nagar,2,0,1,1,1,0,,1,1,0,1,0,0,0,1
169,5772000,1154,Ramamurthy Nagar,2,0,1,1,1,0,,1,1,0,1,0,0,0,1
170,6720999,1353,Ramamurthy Nagar,3,0,1,1,1,0,,1,1,0,1,0,0,0,1
171,6761000,1362,Ramamurthy Nagar,3,0,1,1,1,0,,1,1,0,1,0,0,0,1
172,5677000,1133,Ramamurthy Nagar,2,0,1,1,1,0,,1,1,0,1,0,0,0,1
173,5384000,1068,Ramamurthy Nagar,2,0,1,1,1,0,,1,1,0,1,0,0,0,1
174,9141000,1540,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
175,9522000,1610,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
176,10000000,1715,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
177,7211000,1195,Whitefield Hope Farm Junction,2,0,1,0,0,0,,1,0,0,1,1,0,0,1
178,8514000,1425,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
179,10300000,1760,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
180,7783000,1300,Whitefield Hope Farm Junction,2,0,1,0,0,0,,1,0,0,1,1,0,0,1
181,7429000,1235,Whitefield Hope Farm Junction,2,0,1,0,0,0,,1,0,0,1,1,0,0,1
182,7809999,1305,Whitefield Hope Farm Junction,2,0,1,0,0,0,,1,0,0,1,1,0,0,1
183,3506000,660,Electronic City Phase 1,1,0,1,0,1,1,,1,1,1,1,1,1,0,1
184,6250000,1120,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
185,6250000,1120,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
186,3797999,715,Electronic City Phase 1,1,0,1,0,1,1,,1,1,1,1,1,1,0,1
187,3797999,715,Electronic City Phase 1,1,0,1,0,1,1,,1,1,1,1,1,1,0,1
188,5034000,910,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
189,5034000,910,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
190,7897000,1430,Electronic City Phase 1,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
191,7897000,1430,Electronic City Phase 1,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
192,5327000,965,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
193,5327000,965,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
194,8269000,1500,Electronic City Phase 1,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
195,8269000,1500,Electronic City Phase 1,3,0,1,0,1,1,,1,1,1,1,1,1,0,1
196,5958000,1065,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
197,5958000,1065,Electronic City Phase 1,2,0,1,0,1,1,,1,1,1,1,1,1,0,1
198,6900000,1273,Yelahanka,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
199,9700000,1705,Yelahanka,3,0,1,1,1,0,,1,1,1,0,1,1,0,1
200,7300000,1304,Yelahanka,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
201,9180000,1700,Anjanapura,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
202,6986000,1277,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
203,6081000,1111,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
204,7891000,1443,Carmelaram,3,0,1,1,0,0,,1,1,1,1,1,1,0,1
205,6070000,1109,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
206,5961000,1089,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
207,8442000,1544,Carmelaram,3,0,1,1,0,0,,1,1,1,1,1,1,0,1
208,9003000,1647,Carmelaram,3,0,1,1,0,0,,1,1,1,1,1,1,0,1
209,5923000,1082,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
210,6174000,1128,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
211,5994000,1095,Carmelaram,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
212,8180000,1496,Carmelaram,3,0,1,1,0,0,,1,1,1,1,1,1,0,1
213,7662000,1401,Carmelaram,3,0,1,1,0,0,,1,1,1,1,1,1,0,1
214,8763000,1538,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
215,8957000,1573,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
216,6581000,1181,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
217,9640000,1687,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
218,6664000,1196,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
219,6631000,1190,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
220,10000000,1766,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
221,9879000,1730,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
222,8529000,1532,Horamavu,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
223,7252000,1305,Jalahalli,2,0,1,0,0,0,,1,1,0,0,1,1,0,0
224,9037000,1645,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
225,7298000,1315,Jalahalli,2,0,1,0,0,0,,1,1,0,0,1,1,0,0
226,10400000,1950,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
227,9520000,1750,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
228,7229000,1300,Jalahalli,2,0,1,0,0,0,,1,1,0,0,1,1,0,0
229,9887000,1830,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
230,10300000,1935,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
231,7159999,1285,Jalahalli,2,0,1,0,0,0,,1,1,0,0,1,1,0,0
232,10700000,2010,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
233,8900000,1615,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
234,9382000,1720,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
235,7344000,1325,Jalahalli,2,0,1,0,0,0,,1,1,0,0,1,1,0,0
236,7091000,1270,Jalahalli,2,0,1,0,0,0,,1,1,0,0,1,1,0,0
237,6279000,1320,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
238,5306000,1100,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
239,6655000,1405,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
240,5195000,1075,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
241,5483000,1140,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
242,5527000,1150,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
243,6412000,1350,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
244,6036000,1265,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
245,4930000,1015,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
246,6611000,1395,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
247,5173000,1070,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
248,6058000,1270,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
249,6279000,1320,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
250,5085000,1050,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
251,6434000,1355,Kasavanahalli,3,0,1,1,1,0,,0,1,1,0,0,1,0,0
252,5262000,1090,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
253,6681999,1485,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
254,6525000,1450,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
255,6997000,1555,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
256,6097000,1355,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
257,6120000,1360,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
258,6142000,1365,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
259,6727000,1495,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
260,6277000,1395,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
261,6750000,1500,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
262,6456999,1435,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
263,5240000,1310,Bommasandra,3,0,1,1,1,0,,1,0,0,0,1,1,0,1
264,4120000,1030,Bommasandra,2,0,1,1,1,0,,1,0,0,0,1,1,0,1
265,7012000,1275,Bellandur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
266,8195000,1490,Bellandur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
267,8050000,1706,RR Nagar,3,0,1,1,1,0,,0,1,1,0,1,0,0,1
268,5900000,1258,RR Nagar,2,0,1,1,1,0,,0,1,1,0,1,0,0,1
269,8100000,1723,RR Nagar,3,0,1,1,1,0,,0,1,1,0,1,0,0,1
270,6400000,1369,RR Nagar,2,0,1,1,1,0,,0,1,1,0,1,0,0,1
271,6275000,1335,RR Nagar,2,0,1,1,1,0,,0,1,1,0,1,0,0,1
272,14400000,2000,Whitefield Hope Farm Junction,3,0,1,1,0,0,,1,1,1,1,1,0,0,1
273,13700000,1900,Whitefield Hope Farm Junction,3,0,1,1,0,0,,1,1,1,1,1,0,0,1
274,11399999,1560,Whitefield Hope Farm Junction,3,0,1,1,0,0,,1,1,1,1,1,0,0,1
275,4500000,1097,Begur,2,0,1,1,0,0,,1,1,1,1,1,1,0,1
276,5240000,1310,Bommasandra,3,0,1,1,1,0,,1,0,0,0,1,1,0,1
277,4120000,1030,Bommasandra,2,0,1,1,1,0,,1,0,0,0,1,1,0,1
278,29600000,3300,JP Nagar Phase 1,4,0,1,1,0,1,,1,1,1,1,1,1,0,1
279,8954000,1216,Varthur,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
280,8800000,1195,Varthur,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
281,15400000,2321,Varthur,3,0,1,1,1,0,,1,1,1,0,1,1,0,1
282,11000000,1655,Varthur,3,0,1,1,1,0,,1,1,1,0,1,1,0,1
283,9122000,2172,Kannur on Thanisandra Main Road,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
284,5267000,1505,Uttarahalli,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
285,3507000,1002,Uttarahalli,2,0,1,1,0,0,,0,1,0,1,1,0,0,1
286,4816000,1376,Uttarahalli,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
287,4312000,1232,Uttarahalli,2,0,1,1,0,0,,0,1,0,1,1,0,0,1
288,5295000,1513,Uttarahalli,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
289,3696000,1056,Uttarahalli,2,0,1,1,0,0,,0,1,0,1,1,0,0,1
290,4140000,1183,Uttarahalli,2,0,1,1,0,0,,0,1,0,1,1,0,0,1
